event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,Family,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,Family,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
Relationship Boot Camp,"Relationship Boot Camp in Ridgewood, NJ",10,Health & Wellness,https://www.meetup.com/relationship-boot-camp-support-group-in-ridgewood-nj/events/275056117,14 Hope Street,https://www.google.com/maps/search/api=1&query=40.977993%2C-74.112340,40.978047,-74.11216,"14 Hope Street Ridgewood, NJ",73
Kundalini Yoga and Meditation  ,Montclair NJ Kundalini Yoga and Meditation Meetup Group,1,Health & Wellness,https://www.meetup.com/Montclair-NJ-Kundalini-Yoga-and-Meditation-Meetup-Group/events/275911292,127 Valley Road,https://www.google.com/maps/search/api=1&query=40.821861%2C-74.219841,40.8164458,-74.2210643,"127 Valley Road Montclair, NJ",52
Experience Pranic Healing and Meditation on Twin Hearts,Meditation on Twin Hearts,1,Health & Wellness,https://www.meetup.com/meetup-group-ZVKtzOVt/events/275898302,"420 Valley Brook Avenue, Lyndhurst 07071",https://www.google.com/maps/search/api=1&query=420+Valley+Brook+Avenue%2C+Lyndhurst+07071%2C+Lyndhurst%2C+NJ%2C+us,40.8094,-74.1245,"420 Valley Brook Avenue, Lyndhurst 07071 Lyndhurst, NJ",41
Safe Place Suicide Survivor Support Group,Support Group for Survivors of Suicide Loss,2,Health & Wellness,https://www.meetup.com/Twice-Monthly-Support-Meeting-for-Survivors-of-Suicide-Loss/events/275856248,120 West 69th Street ,https://www.google.com/maps/search/api=1&query=120+West+69th+Street+%2C+New+York%2C+NY%2C+10023%2C+us,40.775669,-73.98069699999998,"120 West 69th Street  New York, NY",140
thelovemaze.com Singles Meet and Match In Cupcakes At Amy's Bread,The LoveMaze Date Nights,1,Health & Wellness,https://www.meetup.com/LoveMaze/events/275872859,672 9th Ave,https://www.google.com/maps/search/api=1&query=40.761253%2C-73.990310,40.761338,-73.990486,"672 9th Ave New York, NY",140
Lets meet some wolves ,A little bit of this and a little of that,25,Food & Drink,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,89 Mount Pleasant Road,https://www.google.com/maps/search/api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us,39.6378952,-74.6987704,"89 Mount Pleasant Road Columbia, NJ",19
New Year Wine & Design Wine glass painting),New Jersey Foodies & Drinkies,6,Food & Drink,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,151 Front St,https://www.google.com/maps/search/api=1&query=40.790756%2C-74.058950,40.790722,-74.058921,"151 Front St Secaucus, NJ",78
Sunday Brunch,Weekend Brunch Meetup,22,Food & Drink,https://www.meetup.com/Weekend-Brunch-Meetup/events/273634431,105th and Broadway ,https://www.google.com/maps/search/api=1&query=105th+and+Broadway+%2C+New+York%2C+NY%2C+us,40.815545,-73.956918,"105th and Broadway  New York, NY",140
Wine and Chocolate at Le Prive,Wine and Chocolate,12,Food & Drink,https://www.meetup.com/meetup-group-fnuzmite/events/275581098,626 10th Ave,https://www.google.com/maps/search/api=1&query=40.761124%2C-73.994040,40.7127281,-74.0060152,"626 10th Ave New York, NY",140
"thelovemaze.com Singles Walk In Neighborhood Parks, COVID Stress-Relief",Romantic Food+Cooking+Drink+Art,1,Food & Drink,https://www.meetup.com/Romantic-Cooking-Club/events/275895104,Morningside Dr,https://www.google.com/maps/search/api=1&query=40.806072%2C-73.958540,42.719382,-73.936503,"Morningside Dr New York, NY",140
"Tuesdays are our regularly scheduled rehearsals, guests are welcome.",Dapper Dans of Harmony,2,Music,https://www.meetup.com/Dapper-Dans-of-Harmony/events/275874884,326 Bloomfield Ave,https://www.google.com/maps/search/api=1&query=326+Bloomfield+Ave%2C+Caldwell%2C+NJ%2C+us,40.8338301,-74.27274940000002,"326 Bloomfield Ave Caldwell, NJ",12
Harmony Celebration Chorus Rehearsal,Harmony Celebration Chorus,1,Music,https://www.meetup.com/HarmonyCelebrationChorus/events/275898566,475 Grove Street,https://www.google.com/maps/search/api=1&query=40.968361%2C-74.108078,40.97966829999999,-74.1194403,"475 Grove Street Ridgewood, NJ",73
UPDATE: SING-ACT-PLAY Private Lessons/Events for Singers/Actors/Instrumentalists,SOMETHING TO SING ABOUT IN NEW YORK,1,Music,https://www.meetup.com/SOMETHING-TO-SING-ABOUT-IN-NEW-YORK/events/275887007,484 W 43rd St,https://www.google.com/maps/search/api=1&query=40.760002%2C-73.994858,40.760115,-73.994114,"484 W 43rd St New York, NY",140
Raise Funds & Spirits! Lincoln Day Dinner 2021,Dennis Prager Fan Club,1,Movements,https://www.meetup.com/dennis-prager-fan-club/events/275773533,118 US-46,https://www.google.com/maps/search/api=1&query=40.869053%2C-74.307460,40.2050878,-74.2135004,"118 US-46 Fairfield, NJ",24
Monthly 350NYC Meeting,350NYC,5,Movements,https://www.meetup.com/350-org-New-York/events/275896975,2 West 64th Street (At Central Park West),https://www.google.com/maps/search/api=1&query=40.771156%2C-73.979690,40.768612,-73.981634,"2 West 64th Street (At Central Park West) New York, NY",140
The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,Movements,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,627 9th Ave,https://www.google.com/maps/search/api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI,40.7615795,-73.9905641,"627 9th Ave New York, NY",140
Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,Movements,https://www.meetup.com/drinkingliberallynyc/events/275918400,627 9th Avenue,https://www.google.com/maps/search/api=1&query=40.760040%2C-73.991821,40.7615795,-73.9905641,"627 9th Avenue New York, NY",140
Brunch @Blvd Bistro,KINGZ,5,LGBTQ,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us,40.80429829999999,-73.9556901,"2149 Frederick Douglass Blvd New York , NY",141
BYOB PAINT NIGHT ,Art Parties and Art Therapy,1,Arts,https://www.meetup.com/fairview-art-therapy-meetup-group/events/275774394,394 Walker St,https://www.google.com/maps/search/api=1&query=40.817436%2C-73.996670,39.3742152,-75.1033108,"394 Walker St Fairview, NJ",25
My Gym Little Bundles Classes,JCFamilies,1,Family,https://www.meetup.com/JCFamilies/events/275886037,252 9th St,https://www.google.com/maps/search/api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.728409,-74.04449100000002,"252 9th St Jersey City, NJ",37
Singalong and Story Time for Kids,Family fun in Brooklyn,2,Family,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,695 5th Ave,https://www.google.com/maps/search/api=1&query=40.661053%2C-73.993462,40.6501038,-73.9495823,"695 5th Ave Brooklyn, NY",109
Wine and Chocolate at Le Prive,Wine and Chocolate,12,Food & Drink,https://www.meetup.com/meetup-group-fnuzmite/events/275581098,626 10th Ave,https://www.google.com/maps/search/api=1&query=40.761124%2C-73.994040,40.7127281,-74.0060152,"626 10th Ave New York, NY",140
Sunday Brunch,Weekend Brunch Meetup,22,Food & Drink,https://www.meetup.com/Weekend-Brunch-Meetup/events/273634431,105th and Broadway ,https://www.google.com/maps/search/api=1&query=105th+and+Broadway+%2C+New+York%2C+NY%2C+us,40.815545,-73.956918,"105th and Broadway  New York, NY",140
Vegan Trifecta in Greenpoint,NYC Vegans,101,Food & Drink,https://www.meetup.com/nycvegans/events/269358168,620 Manhattan Ave,https://www.google.com/maps/search/api=1&query=40.723590%2C-73.950500,40.6979098,-73.9991942,"620 Manhattan Ave Brooklyn, NY",109
New Year Wine & Design Wine glass painting),New Jersey Foodies & Drinkies,6,Food & Drink,https://www.meetup.com/New-Jersey-Foodies-Drinkies/events/275313732,151 Front St,https://www.google.com/maps/search/api=1&query=40.790756%2C-74.058950,40.790722,-74.058921,"151 Front St Secaucus, NJ",78
Lets meet some wolves ,A little bit of this and a little of that,25,Food & Drink,https://www.meetup.com/A-little-bit-of-this-and-a-little-of-that/events/275427276,89 Mount Pleasant Road,https://www.google.com/maps/search/api=1&query=89+Mount+Pleasant+Road%2C+Columbia%2C+NJ%2C+07832%2C+us,39.6378952,-74.6987704,"89 Mount Pleasant Road Columbia, NJ",19
Learn to Make Mochi,Culinary Enthusiasts of NYC,1,Food & Drink,https://www.meetup.com/Culinary-Enthusiasts-of-NYC/events/275831778,116 E 7th Street,https://www.google.com/maps/search/api=1&query=40.726299%2C-73.984497,40.726315,-73.984697,"116 E 7th Street New York, NY",140
Tequilla & Mezcal Tasting (Heated Outdoor Patio),Wine Events and Other Socials,12,Food & Drink,https://www.meetup.com/Affordable-Wine-Tastings-and-Social-for-Beginners/events/275908852,75A 5th Ave,https://www.google.com/maps/search/api=1&query=40.680400%2C-73.977554,40.6787276,-73.9787312,"75A 5th Ave Brooklyn, NY",109
The Cornwall Writers' Circle,The Cornwall Writers Circle,4,Writing,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275886062,See Description Box for,https://www.google.com/maps/search/api=1&query=40.742947%2C-73.984604,40.867384,-73.926406,"See Description Box for New York, NY",140
Astoria Writers Write(!),Astoria Writers Group,6,Writing,https://www.meetup.com/astoriawritersgroup/events/274487949,3801 35th Ave,https://www.google.com/maps/search/api=1&query=40.755497%2C-73.922523,40.7720145,-73.9302673,"3801 35th Ave Astoria, NY",101
Writing Workshop,Panera Collective -- Novel Writing Workshop,1,Writing,https://www.meetup.com/Panera-Collective/events/275831786,345 Adams St.,https://www.google.com/maps/search/api=1&query=40.692776%2C-73.988472,40.693899,-73.989387,"345 Adams St. Brooklyn, NY",109
NYC Shut Up & Write Meetup! - Columbus Circle,Shut Up & Write! NYC,1,Writing,https://www.meetup.com/shutupandwriteNYC/events/275897875,61 W 62nd St,https://www.google.com/maps/search/api=1&query=David+Rubenstein+Atrium+at+Lincoln+Center%2C+61+W+62nd+St%2C+New+York%2C+NY%2C+10023%2C+us&query_place_id=ChIJDyq28vVYwokRuzPLGeJGAC0,40.7711324,-73.982845,"61 W 62nd St New York, NY",140
Brunch @Blvd Bistro,KINGZ,5,LGBTQ,https://www.meetup.com/KINGZ-A-Black-Gay-Collective/events/275806244,2149 Frederick Douglass Blvd,https://www.google.com/maps/search/api=1&query=2149+Frederick+Douglass+Blvd%2C+New+York+%2C+NY%2C+10026%2C+us,40.80429829999999,-73.9556901,"2149 Frederick Douglass Blvd New York , NY",141
Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,LGBTQ,https://www.meetup.com/bisexual-nyc/events/275652731,Virtual Online Meeting,https://www.google.com/maps/search/api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,42.81143,-76.879806,"Virtual Online Meeting New York, NY",140
"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,LGBTQ,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/api=1&query=40.734240%2C-73.999084,40.77427,-73.96981,"425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY",133
"Book to be discussed: ""The White Guard"" by Mikhail Bulgakov",The Third Monday Gay Men's Book Club,6,LGBTQ,https://www.meetup.com/The-Third-Monday-Gay-Guys-Book-Club/events/275709827,939 Lexington Avenue (between E. 68th & E. 69th Streets),https://www.google.com/maps/search/api=1&query=40.767810%2C-73.962010,40.764918,-73.955159,"939 Lexington Avenue (between E. 68th & E. 69th Streets) New York, NY",140
Steele Wool by Frank A. Cappello,Oddball Cinema,1,Film,https://www.meetup.com/Oddball-Cinema/events/275407602,433 E 6th St,https://www.google.com/maps/search/api=1&query=40.725964%2C-73.984620,40.7127281,-74.0060152,"433 E 6th St New York, NY",140
THE SHAMAN'S MIND - HUNA WISDOM TO CHANGE YOUR LIFE ,Shamanic and Reiki Trainings with Jonathan Hammond,7,Beliefs,https://www.meetup.com/Shamanic-and-Reiki-Trainings-with-Jonathan-Hammond/events/272878040,247 West 36th Street 6th Floor,https://www.google.com/maps/search/api=1&query=247+West+36th+Street%2C+New+York%2C+NY%2C+10018%2C+us,40.752906,-73.990665,"247 West 36th Street 6th Floor New York, NY",140
HOPE HILL SUNDAY SERVICE AT VINEYARD THEATER,Hope Hill,2,Beliefs,https://www.meetup.com/HopeHillNYC/events/275825985,108 E 15th St,https://www.google.com/maps/search/api=1&query=40.734787%2C-73.988831,40.7127281,-74.0060152,"108 E 15th St New York, NY",140
Public Conference in English,A.I.G.A. American Institute of Gnostic Anthropology,2,Beliefs,https://www.meetup.com/A-I-G-A-American-Institute-of-Gnostic-Anthropology/events/275664323,507 43RD TS. 7th floor,https://www.google.com/maps/search/api=1&query=507+43RD+TS.+7th+floor%2C+UNION+CITY%2C+nj%2C+07087%2C+us,40.756548,-74.039673,"507 43RD TS. 7th floor UNION CITY, NJ",87
Drinking Skeptically,The New York City Skeptics Meetup Group,3,Beliefs,https://www.meetup.com/The-NYCSkeptics-Meetup-Group/events/275853108,76 W 3rd St,https://www.google.com/maps/search/api=1&query=The+Half+Pint%2C+76+W+3rd+St%2C+New+York%2C+NY%2C+10012%2C+us&query_place_id=ChIJ3xC4upFZwokR3KRRvP6Yz60,40.729685,-73.998605,"76 W 3rd St New York, NY",140
General discussions about the Law Of One,The New York Law Of One/Ra Material Meetup Group,1,Beliefs,https://www.meetup.com/The-New-York-Law-Of-One-Ra-Material-Meetup-Group/events/275873916,"55 East 52nd Street, New York, NY",https://www.google.com/maps/search/api=1&query=55+East+52nd+Street%2C+New+York%2C+NY%2C+New+York%2C+NY%2C+us,40.705575,-74.012314,"55 East 52nd Street, New York, NY New York, NY",140
The Healing Drum Intensive - Techniques on Shamanic Healing with Irma,"Shamanic Fire Reiki, NYC",2,Beliefs,https://www.meetup.com/Shamanic-Fire-Reiki-Manhattan-NYC/events/274358214,"56 West 45th Street, Suite 1703",https://www.google.com/maps/search/api=1&query=40.756187%2C-73.981834,40.756142,-73.9818767,"56 West 45th Street, Suite 1703 New York, NY",140
Zen Series: Gain Work-Life Balance and an Unshakable Mind,Invitation To Happiness,2,Beliefs,https://www.meetup.com/Invitation-to-Happiness-Happy-Science/events/275856438,79 Franklin St,https://www.google.com/maps/search/api=1&query=40.717716%2C-74.004623,40.7127281,-74.0060152,"79 Franklin St New York, NY",140
Psychic Development and Mediumship (Complex) Basics N*e*w*,Psychic Development and Spirit Contact,1,Beliefs,https://www.meetup.com/Psychic-Development-and-Spirit-Contact/events/275853625,151 West 30th Street  3rd Floor (6-7th Aves) ,https://www.google.com/maps/search/api=1&query=40.750801%2C-73.989487,40.742185,-73.992602,"151 West 30th Street  3rd Floor (6-7th Aves)  New York, NY",140
Renaldo Pearson- The Rise & Fall of American Democracy: 2020 Election Postmortem,New York Society for Ethical Culture,2,Beliefs,https://www.meetup.com/EthicalNYC/events/275827152,2 West 64th Street (At Central Park West),https://www.google.com/maps/search/api=1&query=40.771156%2C-73.979690,40.768612,-73.981634,"2 West 64th Street (At Central Park West) New York, NY",140
Circling Lab - Beginner & Experienced Circlers,Authentic Relating New York,1,Beliefs,https://www.meetup.com/Authentic-Relating-NY/events/275854246,599 Broadway,https://www.google.com/maps/search/api=1&query=599+Broadway%2C+New+York%2C+ny%2C+10012%2C+us,40.75231470000001,-73.5056617,"599 Broadway New York, NY",140
Platform: Video Games and Ethics,The Ethical Culture Society of Bergen County,4,Beliefs,https://www.meetup.com/EthicalFocus/events/275399427,687 Larch Ave,https://www.google.com/maps/search/api=1&query=40.888090%2C-74.026240,40.8976,-74.01597,"687 Larch Ave Teaneck, NJ",84
Sacred Sound Bath,Sacred Sound Bath,1,Beliefs,https://www.meetup.com/Sacred-Sound-Bath/events/275897423,191 Canal St,https://www.google.com/maps/search/api=1&query=40.717136%2C-73.998001,40.7127281,-74.0060152,"191 Canal St New York, NY",140
Zelophead's Daughters:God changed the Law so they could be Landowners.,Kick-Ass Women of the Bible,1,Beliefs,https://www.meetup.com/Kick-Ass-Women-of-the-Bible/events/275864610,803 181st St @ Fort Washington Avenue,https://www.google.com/maps/search/api=1&query=803+181st+St+%40+Fort+Washington+Avenue%2C+New+York%2C+NY%2C+us,40.851006,-73.93833000000002,"803 181st St @ Fort Washington Avenue New York, NY",140
Bhakti Night,Lotus Room Brooklyn,1,Beliefs,https://www.meetup.com/Lotus-Room-Brooklyn/events/275875314,305 Schermerhorn St,https://www.google.com/maps/search/api=1&query=40.687744%2C-73.982132,40.6900536,-73.98948890000001,"305 Schermerhorn St Brooklyn, NY",109
Services (9:30 & 11am),Unity Center of New York City,1,Beliefs,https://www.meetup.com/UnityCenterNYC/events/275826948,213 West 58th Street,https://www.google.com/maps/search/api=1&query=213+West+58th+Street%2C+New+York%2C+NY%2C+us,40.766491,-73.97991800000001,"213 West 58th Street New York, NY",140
In-Person Salsa beginner class (first class of new cycle),Salsa lessons (Timba/Cuban Salsa),9,Dance,https://www.meetup.com/salsa-lessons-timba-cuban-salsa/events/275800310,1601 Broadway,https://www.google.com/maps/search/api=1&query=1601+Broadway%2C+1601+Broadway%2C+New+York%2C+NY%2C+10010%2C+us&query_place_id=ChIJVdM0d1ZYwokRnmFgUxcDqN4,42.6524967,-73.74874009999998,"1601 Broadway New York, NY",140
Salsa & Bachata Dance Workshop And Social! No Partner Option!,The Salsa Latin & Ballroom Dance Group,11,Dance,https://www.meetup.com/njsalsadance/events/275754384,289 Stuyvesant Ave 2nd floor,https://www.google.com/maps/search/api=1&query=40.813976%2C-74.126880,40.813749,-74.12650500000002,"289 Stuyvesant Ave 2nd floor Lyndhurst, NJ",41
Cuban Salsa & Rueda de Casino Classes!,Cuban Salsa New York,8,Dance,https://www.meetup.com/Cuban-Salsa-New-York/events/275841136,25 W 31st street,https://www.google.com/maps/search/api=1&query=40.747334%2C-73.987251,40.747123,-73.98684300000002,"25 W 31st street New York, NY",140
Hustle Class - Intermediate,New York/New Jersey Hustle Dancing Meetup,1,Dance,https://www.meetup.com/New-York-New-Jersey-Hustle-Dancing-Meetup/events/275876804,7 High St,https://www.google.com/maps/search/api=1&query=Starlight+Dance+Center%2C+7+High+St%2C+Nutley%2C+NJ%2C+07110%2C+us&query_place_id=ChIJozXc0mX_wokRFtJd-Zo17q0,40.8223223,-74.15986629999998,"7 High St Nutley, NJ",60
Sensual Bachata open level ( partnerwork ),Sensual Bachata in New York (Sensual Movement),2,Dance,https://www.meetup.com/Sensual-Bachata-in-New-York-Sensual-Movement/events/275854184,1601 Broadway 11th floor ,https://www.google.com/maps/search/api=1&query=40.760368%2C-73.985123,42.6524967,-73.74874009999998,"1601 Broadway 11th floor  New York , NY",141
Basic Bellydance Technique & Choreography,NYC Bellydance Meetup!,1,Dance,https://www.meetup.com/NYCBellydancers/events/275831969,265 W 37th St,https://www.google.com/maps/search/api=1&query=40.753696%2C-73.991020,40.753741,-73.99060899999998,"265 W 37th St New York, NY",140
Fiyah Burn morning dancehall workout,FIYAH maaaddness,1,Dance,https://www.meetup.com/FIYAH2016/events/275842220,"920 3rd ave, 5th Floor",https://www.google.com/maps/search/api=1&query=920+3rd+ave%2C+5th+Floor%2C+New+York%2C+NY%2C+us,40.7127281,-74.0060152,"920 3rd ave, 5th Floor New York, NY",140
Daytime Ballroom Social for Seniors,The New York Ballroom Dance Meetup,1,Dance,https://www.meetup.com/ny-ballroom-dance/events/275866067,7 High St,https://www.google.com/maps/search/api=1&query=40.825237%2C-74.153900,40.8223223,-74.15986629999998,"7 High St Nutley, NJ",60
Tango and Date for Couples,NYC Tango & Date,1,Dance,https://www.meetup.com/NYC-Date-Nights-Out/events/275854193,500 8th ave 3rd fl,https://www.google.com/maps/search/api=1&query=500+8th+ave+3rd+fl%2C+New+York%2C+ny%2C+10018%2C+us,40.7127281,-74.0060152,"500 8th ave 3rd fl New York, NY",140
DATE NIGHT - Comedians give relationship advice,"Mini Adventures For Free - Hiking, Dancing, Sports & More",1,Dance,https://www.meetup.com/Mini_Adventures/events/275923124,10-93 Jackson Ave,https://www.google.com/maps/search/api=1&query=10-93+Jackson+Ave%2C+Queens%2C+NY%2C+11101%2C+us,40.7561828,-73.88089129999999,"10-93 Jackson Ave Queens, NY",150
ONLINE - Dirty South Twerkout,Cumbe,1,Dance,https://www.meetup.com/Cumbe-Center-for-African-and-Diaspora-Dance/events/275920993,1368 Fulton St,https://www.google.com/maps/search/api=1&query=40.680050%2C-73.945633,40.6866181,-73.9748413,"1368 Fulton St Brooklyn, NY",109
FUNdamentals of Foxtrot/Cha Cha - All Levels Welcome,"Jersey City Dancing - Ballroom, Latin, Swing, Tango & More!",1,Dance,https://www.meetup.com/jerseycityballroom/events/275920985,"189 Brunswick St, 3rd Floor",https://www.google.com/maps/search/api=1&query=40.726357%2C-74.050415,40.723147,-74.042526,"189 Brunswick St, 3rd Floor Jersey City, NJ",37
Gozar Salsa Saturday Party,New Jersey Salsa Parties,1,Dance,https://www.meetup.com/New-Jersey-Salsa-Parties/events/275807218,41 NJ-4,https://www.google.com/maps/search/api=1&query=Firewaters+Saloon+Hackensack%2C+41+NJ-4%2C+Hackensack%2C+NJ%2C+07601%2C+us&query_place_id=ChIJaYzI6nX6wokRd44xMXNGX5w,40.8871438,-74.0410865,"41 NJ-4 Hackensack, NJ",28
Paint and Sip Pet Portrait Fun- Valentine's Day -Barking Dog NEW YORK,Paint Your Pet and Mingle with Pet Lovers,1,Pets,https://www.meetup.com/Paint-Your-Pet-and-Mingle-with-Pet-Lovers/events/275688252,1678 3rd Ave,https://www.google.com/maps/search/api=1&query=40.784103%2C-73.950455,40.7127281,-74.0060152,"1678 3rd Ave New York, NY",140
New York City Basenji Gathering - 24 January 2021,New York City Basenji Meetup,5,Pets,https://www.meetup.com/basenji-nyc/events/275923078,Sullivan St & Washington Square S,https://www.google.com/maps/search/api=1&query=40.730667%2C-73.998860,40.7275476,-74.00150040000003,"Sullivan St & Washington Square S 10012, NY",98
Weekday Mutt Meetup,Harlem Meer Mutts Club,3,Pets,https://www.meetup.com/Harlem-Meer-Mutts-Club/events/275842205,Central Park,https://www.google.com/maps/search/api=1&query=Central+Park%2C+New+York%2C+NY%2C+us,40.7127281,-74.0060152,"Central Park New York, NY",140
Winter pool session,New York Kayak Polo,8,Sports & Fitness,https://www.meetup.com/NYkayakpolo/events/275703715,870 Montgomery St,https://www.google.com/maps/search/api=1&query=40.727726%2C-74.073105,40.726563,-74.070814,"870 Montgomery St Jersey City, NJ",37
Pick-Up Soccer,Staten Island FC,2,Sports & Fitness,https://www.meetup.com/meetup-group-omrxaotc/events/275692537,New Dorp Lane,https://www.google.com/maps/search/api=1&query=40.568990%2C-74.100620,40.5698282,-74.10864980000002,"New Dorp Lane Staten Island, NE",5
Everwalk Liberty State Park Loop Walk (FIRST Sunday of the month),EverWalk NJ,8,Sports & Fitness,https://www.meetup.com/EverWalk-NJ/events/275895657,1 Audrey Zapp Dr,https://www.google.com/maps/search/api=1&query=40.707960%2C-74.038280,40.709925,-74.052059,"1 Audrey Zapp Dr Jersey City, NJ",37
"Sunday 8:30am - Leisure run, late edition",Jersey City Runners,12,Sports & Fitness,https://www.meetup.com/jcrunners/events/275887726,426 Jersey Ave,https://www.google.com/maps/search/api=1&query=40.716812%2C-74.048750,40.7281575,-74.0776417,"426 Jersey Ave Jersey City, NJ",37
Let's workout!!! On Sabbatical Until Spring!,Staten Island Weight Loss Camp for Women,2,Sports & Fitness,https://www.meetup.com/Staten-Island-Weight-Loss-Camp-for-Women/events/275890735,1150 Clove Rd,https://www.google.com/maps/search/api=1&query=1150+Clove+Rd%2C+Staten+Island%2C+NY%2C+10301%2C+us,40.6197,-74.10770600000002,"1150 Clove Rd Staten Island, NY",161
FREE GAME Indoor 5v5 @Socceroof (use promo code ROOF12/ first timers only),JUST PLAY Pickup Soccer in New York,2,Sports & Fitness,https://www.meetup.com/just-play-soccer/events/275860448,14b 53rd St 3rd floor,https://www.google.com/maps/search/api=1&query=Socceroof%2C+14b+53rd+St+3rd+floor%2C+Brooklyn%2C+NY%2C+11232%2C+us&query_place_id=ChIJrfgrMK9awokR-Z5O20hCD3w,40.713944,-73.967876,"14b 53rd St 3rd floor Brooklyn, NY",109
COED SOCCER LEAGUE - WINTER SEASON 2021 (SOCCEROOF BROOLKYN) STARTS FEBRUARY 1ST,COED SOCCER NYC,12,Sports & Fitness,https://www.meetup.com/coedsoccernyc/events/275818574,14b 53rd St 3rd floor,https://www.google.com/maps/search/api=1&query=Socceroof%2C+14b+53rd+St+3rd+floor%2C+Brooklyn%2C+NY%2C+11232%2C+us&query_place_id=ChIJrfgrMK9awokR-Z5O20hCD3w,40.713944,-73.967876,"14b 53rd St 3rd floor Brooklyn, NY",109
COED SOCCER LEAGUE. WINTER SEASON 2021 (SOCCEROOF BROOKLYN) STARTS FEBRUARY 1ST,BAYSIDE SOCCER,11,Sports & Fitness,https://www.meetup.com/BAYSIDE-SOCCER/events/275827860,14b 53rd St 3rd floor,https://www.google.com/maps/search/api=1&query=Socceroof%2C+14b+53rd+St+3rd+floor%2C+Brooklyn%2C+NY%2C+11232%2C+us&query_place_id=ChIJrfgrMK9awokR-Z5O20hCD3w,40.713944,-73.967876,"14b 53rd St 3rd floor Brooklyn, NY",109
Parade Grounds Pickup Soccer/Football Group,Parade Grounds Pickup Soccer/Football Group,24,Sports & Fitness,https://www.meetup.com/Brooklyn-Soccer-Meetup-BgGxxbNI/events/275813956,1616 Caton Ave Coney Island Ave between Caton & Parkside Avenues,https://www.google.com/maps/search/api=1&query=40.650830%2C-73.964800,40.656437,-73.947263,"1616 Caton Ave Coney Island Ave between Caton & Parkside Avenues Brooklyn, NY",109
Sunday Football @  Calvert Vaux ,NYC/Brooklyn Touch/Flag Football,25,Sports & Fitness,https://www.meetup.com/BrooklynFootball/events/275309919,1990 Shore Pkwy,https://www.google.com/maps/search/api=1&query=40.586002%2C-73.992090,40.72679,-73.263672,"1990 Shore Pkwy Brooklyn, NY",109
Open play soccer,Staten Island SportsPlex,1,Sports & Fitness,https://www.meetup.com/Staten-Island-SportsPlex/events/275877790,215 Schmidts Ln.,https://www.google.com/maps/search/api=1&query=215+Schmidts+Ln.%2C+Staten+Island%2C+NY%2C+us,40.608971,-74.119019,"215 Schmidts Ln. Staten Island, NY",161
Monday NIght Introduction to Kokikai Aikido,Aikido Kokikai NYC,1,Sports & Fitness,https://www.meetup.com/Aikido-Kokikai-NYC/events/275854846,250 Front St,https://www.google.com/maps/search/api=1&query=250+Front+St%2C+250+Front+St%2C+New+York%2C+NY%2C+10038%2C+us&query_place_id=ChIJ1cx3UyNawokRCl-NaaDqx-U,40.707979,-74.001449,"250 Front St New York, NY",140
